ID,city,year,emission
上海1997,上海,1997,103.1874065
上海1998,上海,1998,104.4441678
上海1999,上海,1999,115.5501655
上海2000,上海,2000,117.9739141
上海2001,上海,2001,122.5445532
上海2002,上海,2002,128.4339011
上海2003,上海,2003,136.9788016
上海2004,上海,2004,148.7175914
上海2005,上海,2005,158.9390209
上海2006,上海,2006,165.2431456
上海2007,上海,2007,174.7746792
上海2008,上海,2008,178.1546104
上海2009,上海,2009,179.0588244
上海2010,上海,2010,195.503096
上海2011,上海,2011,201.4947564
上海2012,上海,2012,195.9264595
上海2013,上海,2013,207.6336928
上海2014,上海,2014,194.2200151
上海2015,上海,2015,195.3238483
上海2016,上海,2016,194.7098509
上海2017,上海,2017,196.153572
上海2018,上海,2018,190.6416671
上海2019,上海,2019,192.9122403
江苏南京2000,江苏南京,2000,41.26783318
江苏南京2001,江苏南京,2001,41.40142783
江苏南京2002,江苏南京,2002,56.29273837
江苏南京2003,江苏南京,2003,62.91474417
江苏南京2004,江苏南京,2004,80.60939214
江苏南京2005,江苏南京,2005,76.41412522
江苏南京2006,江苏南京,2006,95.18052768
江苏南京2007,江苏南京,2007,100.126021
江苏南京2008,江苏南京,2008,94.23507698
江苏南京2009,江苏南京,2009,105.2322192
江苏南京2010,江苏南京,2010,113.168911
江苏南京2011,江苏南京,2011,144.5218468
江苏南京2012,江苏南京,2012,139.4650889
江苏南京2013,江苏南京,2013,143.3654695
江苏南京2014,江苏南京,2014,150.0236406
江苏南京2015,江苏南京,2015,164.8674767
江苏南京2016,江苏南京,2016,170.0213499
江苏南京2017,江苏南京,2017,178.4163272
江苏南京2018,江苏南京,2018,164.9052799
江苏南京2019,江苏南京,2019,170.3911893
江苏南通2000,江苏南通,2000,14.60731207
江苏南通2001,江苏南通,2001,16.41072403
江苏南通2002,江苏南通,2002,17.51995906
江苏南通2003,江苏南通,2003,18.50647385
江苏南通2005,江苏南通,2005,26.36701691
江苏南通2006,江苏南通,2006,28.70077769
江苏南通2007,江苏南通,2007,29.90053595
江苏南通2008,江苏南通,2008,31.04704463
江苏南通2009,江苏南通,2009,31.25996637
江苏南通2011,江苏南通,2011,47.01564138
江苏南通2012,江苏南通,2012,47.1732091
江苏南通2013,江苏南通,2013,47.87398731
江苏南通2014,江苏南通,2014,53.07533493
江苏南通2015,江苏南通,2015,52.24371926
江苏南通2016,江苏南通,2016,53.45860773
江苏南通2017,江苏南通,2017,51.5473005
江苏南通2018,江苏南通,2018,45.35733755
江苏南通2019,江苏南通,2019,41.33676147
江苏宿迁2008,江苏宿迁,2008,5.616105556
江苏宿迁2009,江苏宿迁,2009,4.975445158
江苏宿迁2011,江苏宿迁,2011,7.430819079
江苏宿迁2012,江苏宿迁,2012,7.376727668
江苏宿迁2013,江苏宿迁,2013,9.746436878
江苏宿迁2014,江苏宿迁,2014,10.96844183
江苏宿迁2015,江苏宿迁,2015,11.39781994
江苏宿迁2016,江苏宿迁,2016,11.51825233
江苏宿迁2017,江苏宿迁,2017,10.22490629
江苏宿迁2018,江苏宿迁,2018,8.532763211
江苏宿迁2019,江苏宿迁,2019,11.63078492
江苏常州2000,江苏常州,2000,17.3686198
江苏常州2001,江苏常州,2001,18.12411603
江苏常州2002,江苏常州,2002,21.1551837
江苏常州2003,江苏常州,2003,26.47361583
江苏常州2004,江苏常州,2004,30.03974176
江苏常州2005,江苏常州,2005,37.51295898
江苏常州2006,江苏常州,2006,38.33687454
江苏常州2007,江苏常州,2007,43.32493914
江苏常州2008,江苏常州,2008,43.56643313
江苏常州2009,江苏常州,2009,46.38024059
江苏常州2010,江苏常州,2010,47.04046305
江苏常州2011,江苏常州,2011,50.02469945
江苏常州2012,江苏常州,2012,53.45287458
江苏常州2013,江苏常州,2013,57.04488298
江苏常州2014,江苏常州,2014,56.90835699
江苏常州2015,江苏常州,2015,55.68164514
江苏常州2016,江苏常州,2016,57.01289513
江苏常州2017,江苏常州,2017,60.43261521
江苏常州2018,江苏常州,2018,59.52550209
江苏常州2019,江苏常州,2019,61.53874741
江苏徐州2000,江苏徐州,2000,27.32396677
江苏徐州2001,江苏徐州,2001,26.46220831
江苏徐州2002,江苏徐州,2002,30.94810715
江苏徐州2003,江苏徐州,2003,35.96010316
江苏徐州2004,江苏徐州,2004,46.37699963
江苏徐州2005,江苏徐州,2005,56.20007412
江苏徐州2006,江苏徐州,2006,57.35538613
江苏徐州2007,江苏徐州,2007,63.26992489
江苏徐州2008,江苏徐州,2008,68.97054477
江苏徐州2009,江苏徐州,2009,68.4803339
江苏徐州2011,江苏徐州,2011,101.4291303
江苏徐州2012,江苏徐州,2012,100.0737548
江苏徐州2013,江苏徐州,2013,124.9697252
江苏徐州2014,江苏徐州,2014,111.4837182
江苏徐州2015,江苏徐州,2015,141.7566753
江苏徐州2016,江苏徐州,2016,103.1205748
江苏徐州2017,江苏徐州,2017,128.8126901
江苏扬州2002,江苏扬州,2002,13.80294305
江苏扬州2003,江苏扬州,2003,15.36496876
江苏扬州2004,江苏扬州,2004,17.68588205
江苏扬州2005,江苏扬州,2005,20.21357665
江苏扬州2006,江苏扬州,2006,21.93651161
江苏扬州2007,江苏扬州,2007,28.07950766
江苏扬州2008,江苏扬州,2008,28.70109102
江苏扬州2009,江苏扬州,2009,32.29242166
江苏扬州2010,江苏扬州,2010,33.43445056
江苏扬州2011,江苏扬州,2011,33.61559561
江苏扬州2012,江苏扬州,2012,32.18342453
江苏扬州2013,江苏扬州,2013,35.24870092
江苏扬州2014,江苏扬州,2014,34.66748616
江苏扬州2015,江苏扬州,2015,32.40170704
江苏扬州2016,江苏扬州,2016,33.99683312
江苏扬州2017,江苏扬州,2017,34.71593881
江苏扬州2018,江苏扬州,2018,35.34416603
江苏扬州2019,江苏扬州,2019,35.48044194
江苏无锡2000,江苏无锡,2000,23.47390822
江苏无锡2001,江苏无锡,2001,25.24254579
江苏无锡2002,江苏无锡,2002,31.6026609
江苏无锡2003,江苏无锡,2003,33.98116384
江苏无锡2004,江苏无锡,2004,44.11223835
江苏无锡2005,江苏无锡,2005,50.80311431
江苏无锡2006,江苏无锡,2006,55.40247495
江苏无锡2007,江苏无锡,2007,63.34312454
江苏无锡2008,江苏无锡,2008,64.25547338
江苏无锡2009,江苏无锡,2009,72.35951919
江苏无锡2010,江苏无锡,2010,78.4658082
江苏无锡2011,江苏无锡,2011,85.30531125
江苏无锡2012,江苏无锡,2012,88.60554588
江苏无锡2013,江苏无锡,2013,90.76536625
江苏无锡2014,江苏无锡,2014,87.09258426
江苏无锡2015,江苏无锡,2015,86.77507483
江苏无锡2016,江苏无锡,2016,79.54751061
江苏无锡2017,江苏无锡,2017,86.99124468
江苏无锡2018,江苏无锡,2018,90.24309137
江苏无锡2019,江苏无锡,2019,91.22845982
江苏泰州2000,江苏泰州,2000,6.348787698
江苏泰州2001,江苏泰州,2001,6.817628044
江苏泰州2002,江苏泰州,2002,8.857360408
江苏泰州2003,江苏泰州,2003,7.99607918
江苏泰州2005,江苏泰州,2005,11.37140702
江苏泰州2006,江苏泰州,2006,14.71783909
江苏泰州2007,江苏泰州,2007,16.77090126
江苏泰州2008,江苏泰州,2008,22.58159819
江苏泰州2009,江苏泰州,2009,24.58385583
江苏泰州2010,江苏泰州,2010,26.41727642
江苏泰州2011,江苏泰州,2011,27.42851046
江苏泰州2012,江苏泰州,2012,29.30360873
江苏泰州2013,江苏泰州,2013,32.05013596
江苏泰州2014,江苏泰州,2014,31.68350653
江苏泰州2015,江苏泰州,2015,33.02250942
江苏泰州2016,江苏泰州,2016,38.01240187
江苏泰州2017,江苏泰州,2017,42.41100425
江苏泰州2019,江苏泰州,2019,40.11705845
江苏淮安2005,江苏淮安,2005,34.71786622
江苏淮安2007,江苏淮安,2007,24.13019073
江苏淮安2008,江苏淮安,2008,25.47035868
江苏淮安2009,江苏淮安,2009,25.02834373
江苏淮安2010,江苏淮安,2010,29.17420841
江苏淮安2011,江苏淮安,2011,29.83888369
江苏淮安2012,江苏淮安,2012,32.60777972
江苏淮安2013,江苏淮安,2013,34.0926394
江苏淮安2014,江苏淮安,2014,33.71907321
江苏淮安2015,江苏淮安,2015,33.35187562
江苏淮安2016,江苏淮安,2016,30.80294375
江苏淮安2017,江苏淮安,2017,39.43707557
江苏盐城2005,江苏盐城,2005,16.29453091
江苏盐城2006,江苏盐城,2006,17.33134626
江苏盐城2007,江苏盐城,2007,19.51909239
江苏盐城2008,江苏盐城,2008,20.51400849
江苏盐城2009,江苏盐城,2009,21.5839726
江苏盐城2011,江苏盐城,2011,21.31362861
江苏盐城2012,江苏盐城,2012,24.31999937
江苏盐城2013,江苏盐城,2013,34.377002
江苏盐城2014,江苏盐城,2014,35.06562217
江苏盐城2015,江苏盐城,2015,35.03835894
江苏盐城2016,江苏盐城,2016,33.40636875
江苏盐城2017,江苏盐城,2017,31.56500394
江苏盐城2018,江苏盐城,2018,46.5327376
江苏盐城2019,江苏盐城,2019,44.9949424
江苏苏州2000,江苏苏州,2000,40.37727484
江苏苏州2001,江苏苏州,2001,46.21057368
江苏苏州2002,江苏苏州,2002,39.93747162
江苏苏州2003,江苏苏州,2003,58.14327297
江苏苏州2004,江苏苏州,2004,73.23077387
江苏苏州2005,江苏苏州,2005,103.3952314
江苏苏州2006,江苏苏州,2006,127.5534787
江苏苏州2007,江苏苏州,2007,147.6987059
江苏苏州2008,江苏苏州,2008,150.0630932
江苏苏州2009,江苏苏州,2009,167.4025741
江苏苏州2010,江苏苏州,2010,184.6147199
江苏苏州2011,江苏苏州,2011,202.1052559
江苏苏州2012,江苏苏州,2012,207.7901654
江苏苏州2013,江苏苏州,2013,218.3795374
江苏苏州2014,江苏苏州,2014,221.4877537
江苏苏州2015,江苏苏州,2015,236.4869553
江苏苏州2016,江苏苏州,2016,211.961167
江苏苏州2017,江苏苏州,2017,206.9038027
江苏苏州2018,江苏苏州,2018,213.4140269
江苏苏州2019,江苏苏州,2019,231.1935764
江苏连云港2000,江苏连云港,2000,5.301014253
江苏连云港2001,江苏连云港,2001,5.752398109
江苏连云港2002,江苏连云港,2002,5.764703353
江苏连云港2003,江苏连云港,2003,6.39033435
江苏连云港2004,江苏连云港,2004,7.123207903
江苏连云港2005,江苏连云港,2005,9.488075821
江苏连云港2006,江苏连云港,2006,11.21389457
江苏连云港2007,江苏连云港,2007,11.06676933
江苏连云港2008,江苏连云港,2008,11.68996633
江苏连云港2009,江苏连云港,2009,14.74024198
江苏连云港2011,江苏连云港,2011,17.93550471
江苏连云港2012,江苏连云港,2012,21.23226385
江苏连云港2013,江苏连云港,2013,22.6765864
江苏连云港2014,江苏连云港,2014,24.79909313
江苏连云港2015,江苏连云港,2015,25.93045535
江苏连云港2016,江苏连云港,2016,30.03163285
江苏连云港2017,江苏连云港,2017,29.4418153
江苏连云港2018,江苏连云港,2018,29.27073865
江苏连云港2019,江苏连云港,2019,30.40464213
江苏镇江2002,江苏镇江,2002,20.54400095
江苏镇江2003,江苏镇江,2003,23.48825763
江苏镇江2004,江苏镇江,2004,25.97255853
江苏镇江2005,江苏镇江,2005,28.24205675
江苏镇江2006,江苏镇江,2006,30.13131559
江苏镇江2007,江苏镇江,2007,29.08912412
江苏镇江2008,江苏镇江,2008,28.96095692
江苏镇江2009,江苏镇江,2009,30.15558325
江苏镇江2011,江苏镇江,2011,38.57819353
江苏镇江2012,江苏镇江,2012,41.79988876
江苏镇江2013,江苏镇江,2013,43.18478087
江苏镇江2014,江苏镇江,2014,48.93856304
江苏镇江2016,江苏镇江,2016,48.36981538
江苏镇江2017,江苏镇江,2017,52.79494127
江苏镇江2018,江苏镇江,2018,41.93499178
江苏镇江2019,江苏镇江,2019,53.28564361
江苏镇江2015,江苏镇江,2015,44.95828713
江苏南通2010,江苏南通,2010,40.09474682
江苏宿迁2010,江苏宿迁,2010,6.106822005
江苏徐州2010,江苏徐州,2010,85.81034386
江苏盐城2010,江苏盐城,2010,20.64585332
江苏连云港2010,江苏连云港,2010,18.39281628
江苏镇江2010,江苏镇江,2010,32.33147013
浙江丽水2000,浙江丽水,2000,2.742602368
浙江丽水2001,浙江丽水,2001,2.265178952
浙江丽水2002,浙江丽水,2002,3.031927307
浙江丽水2003,浙江丽水,2003,3.215744309
浙江丽水2004,浙江丽水,2004,3.593964842
浙江丽水2005,浙江丽水,2005,4.611470517
浙江丽水2006,浙江丽水,2006,5.81635011
浙江丽水2007,浙江丽水,2007,6.571915757
浙江丽水2008,浙江丽水,2008,6.755438765
浙江丽水2009,浙江丽水,2009,7.178705278
浙江丽水2010,浙江丽水,2010,8.234001063
浙江丽水2011,浙江丽水,2011,7.118739545
浙江丽水2012,浙江丽水,2012,8.25118107
浙江丽水2013,浙江丽水,2013,8.503281015
浙江丽水2014,浙江丽水,2014,7.703324891
浙江丽水2015,浙江丽水,2015,7.749064744
浙江丽水2016,浙江丽水,2016,8.335138653
浙江丽水2017,浙江丽水,2017,7.272912562
浙江丽水2018,浙江丽水,2018,8.061302678
浙江丽水2019,浙江丽水,2019,7.458870228
浙江台州2000,浙江台州,2000,10.88948808
浙江台州2001,浙江台州,2001,11.30152574
浙江台州2002,浙江台州,2002,11.36697961
浙江台州2003,浙江台州,2003,12.80188229
浙江台州2004,浙江台州,2004,14.9929401
浙江台州2005,浙江台州,2005,21.25669548
浙江台州2006,浙江台州,2006,20.52172341
浙江台州2007,浙江台州,2007,31.43783375
浙江台州2008,浙江台州,2008,41.29640497
浙江台州2009,浙江台州,2009,40.9692301
浙江台州2010,浙江台州,2010,52.06406546
浙江台州2011,浙江台州,2011,56.20461644
浙江台州2012,浙江台州,2012,55.69683416
浙江台州2013,浙江台州,2013,47.76729616
浙江台州2014,浙江台州,2014,41.30419658
浙江台州2015,浙江台州,2015,39.34486848
浙江台州2016,浙江台州,2016,47.90074883
浙江台州2017,浙江台州,2017,39.19361193
浙江台州2018,浙江台州,2018,39.82281738
浙江台州2019,浙江台州,2019,38.31536295
浙江嘉兴2000,浙江嘉兴,2000,13.53146106
浙江嘉兴2001,浙江嘉兴,2001,14.0701232
浙江嘉兴2002,浙江嘉兴,2002,16.53784338
浙江嘉兴2003,浙江嘉兴,2003,19.56709109
浙江嘉兴2005,浙江嘉兴,2005,33.65432134
浙江嘉兴2006,浙江嘉兴,2006,39.6557864
浙江嘉兴2007,浙江嘉兴,2007,39.30703982
浙江嘉兴2008,浙江嘉兴,2008,37.98645859
浙江嘉兴2009,浙江嘉兴,2009,38.27663305
浙江嘉兴2011,浙江嘉兴,2011,42.8842595
浙江嘉兴2012,浙江嘉兴,2012,47.67500925
浙江嘉兴2013,浙江嘉兴,2013,47.07383801
浙江嘉兴2014,浙江嘉兴,2014,43.79707666
浙江嘉兴2015,浙江嘉兴,2015,41.76211867
浙江嘉兴2016,浙江嘉兴,2016,43.14690208
浙江嘉兴2017,浙江嘉兴,2017,46.52234274
浙江嘉兴2018,浙江嘉兴,2018,51.28570779
浙江嘉兴2019,浙江嘉兴,2019,53.09229263
浙江宁波1997,浙江宁波,1997,21.12318164
浙江宁波1998,浙江宁波,1998,26.66336356
浙江宁波1999,浙江宁波,1999,27.88550455
浙江宁波2000,浙江宁波,2000,32.14724002
浙江宁波2001,浙江宁波,2001,38.80072958
浙江宁波2002,浙江宁波,2002,39.81168496
浙江宁波2003,浙江宁波,2003,44.99273505
浙江宁波2004,浙江宁波,2004,50.80020589
浙江宁波2005,浙江宁波,2005,54.15381598
浙江宁波2006,浙江宁波,2006,68.56239663
浙江宁波2007,浙江宁波,2007,82.85185679
浙江宁波2008,浙江宁波,2008,87.35641647
浙江宁波2009,浙江宁波,2009,91.59058428
浙江宁波2011,浙江宁波,2011,115.1920702
浙江宁波2012,浙江宁波,2012,120.1591561
浙江宁波2013,浙江宁波,2013,112.7254095
浙江宁波2014,浙江宁波,2014,106.7476285
浙江宁波2015,浙江宁波,2015,111.8159871
浙江宁波2016,浙江宁波,2016,113.1379901
浙江宁波2017,浙江宁波,2017,117.9173539
浙江宁波2018,浙江宁波,2018,130.0524194
浙江宁波2019,浙江宁波,2019,127.631334
浙江杭州2000,浙江杭州,2000,25.10532771
浙江杭州2001,浙江杭州,2001,27.37664759
浙江杭州2002,浙江杭州,2002,30.11282913
浙江杭州2003,浙江杭州,2003,33.17955785
浙江杭州2004,浙江杭州,2004,37.26020323
浙江杭州2005,浙江杭州,2005,41.82969483
浙江杭州2006,浙江杭州,2006,46.94483846
浙江杭州2007,浙江杭州,2007,49.30775617
浙江杭州2008,浙江杭州,2008,53.34413207
浙江杭州2009,浙江杭州,2009,52.21829722
浙江杭州2011,浙江杭州,2011,56.06490101
浙江杭州2012,浙江杭州,2012,52.91932192
浙江杭州2013,浙江杭州,2013,49.46891021
浙江杭州2014,浙江杭州,2014,58.03596763
浙江杭州2015,浙江杭州,2015,55.2347281
浙江杭州2016,浙江杭州,2016,41.03452714
浙江杭州2017,浙江杭州,2017,42.05479989
浙江杭州2018,浙江杭州,2018,41.61822152
浙江杭州2019,浙江杭州,2019,44.6229524
浙江温州2000,浙江温州,2000,11.44451905
浙江温州2001,浙江温州,2001,12.12484041
浙江温州2002,浙江温州,2002,12.70503815
浙江温州2003,浙江温州,2003,14.39465547
浙江温州2004,浙江温州,2004,18.59092696
浙江温州2005,浙江温州,2005,23.35185901
浙江温州2006,浙江温州,2006,22.98715211
浙江温州2007,浙江温州,2007,23.03322694
浙江温州2008,浙江温州,2008,23.7460451
浙江温州2009,浙江温州,2009,26.68871881
浙江温州2011,浙江温州,2011,38.09753371
浙江温州2012,浙江温州,2012,34.76119641
浙江温州2013,浙江温州,2013,35.60072145
浙江温州2014,浙江温州,2014,40.00803994
浙江温州2015,浙江温州,2015,41.90800082
浙江温州2016,浙江温州,2016,44.89866373
浙江温州2017,浙江温州,2017,57.30141153
浙江温州2018,浙江温州,2018,47.66475556
浙江温州2019,浙江温州,2019,31.30158412
浙江湖州2001,浙江湖州,2001,13.59037307
浙江湖州2002,浙江湖州,2002,15.53177285
浙江湖州2003,浙江湖州,2003,19.24094771
浙江湖州2004,浙江湖州,2004,19.973544
浙江湖州2005,浙江湖州,2005,23.2067251
浙江湖州2006,浙江湖州,2006,25.00402317
浙江湖州2007,浙江湖州,2007,27.03879273
浙江湖州2008,浙江湖州,2008,23.04605068
浙江湖州2009,浙江湖州,2009,22.68715386
浙江湖州2011,浙江湖州,2011,21.81112158
浙江湖州2012,浙江湖州,2012,20.31562134
浙江湖州2013,浙江湖州,2013,21.15176734
浙江湖州2014,浙江湖州,2014,21.0692438
浙江湖州2015,浙江湖州,2015,22.28633679
浙江湖州2016,浙江湖州,2016,22.52553234
浙江湖州2017,浙江湖州,2017,26.35118018
浙江湖州2018,浙江湖州,2018,21.8697367
浙江湖州2019,浙江湖州,2019,20.94463445
浙江绍兴2000,浙江绍兴,2000,13.49258923
浙江绍兴2001,浙江绍兴,2001,14.46516512
浙江绍兴2002,浙江绍兴,2002,26.32337621
浙江绍兴2003,浙江绍兴,2003,28.88981588
浙江绍兴2004,浙江绍兴,2004,34.73866187
浙江绍兴2005,浙江绍兴,2005,36.42823572
浙江绍兴2006,浙江绍兴,2006,40.20213587
浙江绍兴2007,浙江绍兴,2007,39.2701868
浙江绍兴2008,浙江绍兴,2008,35.03037253
浙江绍兴2009,浙江绍兴,2009,34.44650472
浙江绍兴2011,浙江绍兴,2011,36.80918954
浙江绍兴2012,浙江绍兴,2012,34.28152331
浙江绍兴2013,浙江绍兴,2013,37.88409613
浙江绍兴2014,浙江绍兴,2014,36.24219239
浙江绍兴2015,浙江绍兴,2015,34.29255737
浙江绍兴2016,浙江绍兴,2016,33.68750361
浙江绍兴2017,浙江绍兴,2017,32.19763942
浙江绍兴2018,浙江绍兴,2018,37.07533198
浙江绍兴2019,浙江绍兴,2019,38.47189123
浙江舟山2000,浙江舟山,2000,3.237675987
浙江舟山2001,浙江舟山,2001,3.426390063
浙江舟山2002,浙江舟山,2002,3.359972207
浙江舟山2003,浙江舟山,2003,3.721863606
浙江舟山2004,浙江舟山,2004,6.180471944
浙江舟山2005,浙江舟山,2005,4.931835099
浙江舟山2006,浙江舟山,2006,5.221813591
浙江舟山2007,浙江舟山,2007,5.2624213
浙江舟山2008,浙江舟山,2008,5.368776189
浙江舟山2009,浙江舟山,2009,5.648848724
浙江舟山2011,浙江舟山,2011,17.20618318
浙江舟山2012,浙江舟山,2012,16.0064821
浙江舟山2013,浙江舟山,2013,15.68292709
浙江舟山2014,浙江舟山,2014,21.09203516
浙江舟山2015,浙江舟山,2015,25.0699969
浙江舟山2016,浙江舟山,2016,26.47966677
浙江舟山2017,浙江舟山,2017,23.94945519
浙江舟山2018,浙江舟山,2018,23.06082532
浙江舟山2019,浙江舟山,2019,28.45571219
浙江衢州2003,浙江衢州,2003,9.868790752
浙江衢州2004,浙江衢州,2004,12.18480841
浙江衢州2005,浙江衢州,2005,15.49529836
